893;Patricia Vega;J6S-587;1/11/2023
834;Eva Núñez;Z1S-403;1/11/2023
287;Pablo Ramírez;T3X-748;1/11/2023;Procesado
119;Roberto Ortiz;S4T-844;1/11/2023;Pendiente
664;Silvia Alvarez;E7B-753;1/11/2023
759;Isabel Mendoza;L3F-355;1/11/2023;Procesado
139;Luis Almeida;T7M-304;1/11/2023;Pendiente
556;Sofía González;I9L-826;1/11/2023;Procesado
602;Mateo Ramírez;S7A-103;1/11/2023;Procesado
897;Jorge Morales;J6S-798;1/11/2023;Procesado
859;Javier Silva;P2T-643;1/11/2023;Pendiente
646;Eva Campos;F1A-763;1/11/2023;Pendiente
149;Rosa Vega;O3O-799;1/11/2023;Pendiente
120;Alejandra Almeida;E7S-545;1/11/2023;Pendiente
256;Miguel Ortiz;T9Q-573;1/11/2023;Pendiente
807;Mateo Almeida;S2U-241;1/11/2023;Pendiente
190;Lorena Rojas;N2K-302;1/11/2023;Pendiente
694;Patricia Andrade;V7N-208;1/11/2023;Pendiente
595;Victoria Montes;S2E-210;1/11/2023;Procesado
574;Gabriel Alvarez;O5R-979;1/11/2023;Pendiente
770;Alberto Vasquez;U4V-558;1/11/2023;Pendiente
88;Patricia Chavez;W8E-397;1/11/2023;Procesado
661;Natalia Molina;D8C-277;1/11/2023;Procesado
657;Pedro Hernández;J9E-946;1/11/2023;Pendiente
924;Manuel Gómez;T3Y-398;1/11/2023;Pendiente
191;Sofía Rojas;Z2R-775;1/11/2023;Pendiente
494;Lorena Jiménez;A7L-156;1/11/2023;Pendiente
337;Andrés Castro;D4G-589;1/11/2023;Procesado
69;María Alvarez;I6D-448;1/11/2023;Procesado
970;José Cruz;J6L-845;1/11/2023;Procesado
39;Paula Vargas;J8J-295;1/11/2023;Pendiente
621;María Díaz;N7K-230;1/11/2023;Procesado
7;Carmen Santos;W3T-346;1/11/2023;Pendiente
774;Ángel Medina;I4Y-806;1/11/2023;Pendiente
521;Pedro López;T4U-479;1/11/2023;Pendiente
723;Rocío Ferreira;I8C-647;1/11/2023;Pendiente
782;Diego Aguilar;P4Y-438;1/11/2023;Procesado
963;Clara Cabrera;M2L-798;1/11/2023;Pendiente
994;Juan López;M8V-509;1/11/2023;Pendiente
408;Manuel Miranda;C3P-600;1/11/2023;Procesado
385;Gabriel Núñez;R5H-734;1/11/2023;Pendiente
206;Sofía Rivas;H4V-205;1/11/2023;Procesado
406;Diego Figueroa;O4L-264;1/11/2023;Pendiente
241;Sofía Rodríguez;K7K-246;1/11/2023;Procesado
845;Patricia Morales;A8J-700;2/11/2023;Procesado
802;Pablo Ramírez;G9I-555;2/11/2023;Procesado
718;Miguel López;O8H-931;2/11/2023;Procesado
973;Antonio Fernández;C2O-151;2/11/2023;Procesado
37;Teresa Vargas;A6H-142;2/11/2023;Pendiente
132;Sofía Alvarez;C6M-218;2/11/2023;Procesado
935;David Machado;U9F-797;2/11/2023;Procesado
930;Elena Andrade;E2I-378;2/11/2023;Pendiente
879;Roberto Pereira;A9E-347;2/11/2023;Pendiente
949;José Silva;Z7Z-589;2/11/2023;Procesado
155;Roberto Almeida;V6H-795;2/11/2023;Pendiente
498;Antonio Martínez;K8D-465;2/11/2023;Procesado
474;Gonzalo Pérez;I7O-196;2/11/2023;Procesado
302;Rocío Hernández;K8E-835;2/11/2023;Procesado
90;Andrés Hernández;J5A-572;2/11/2023;Pendiente
294;David Romero;C6E-633;2/11/2023;Procesado
351;Pablo Vasquez;O2T-245;2/11/2023;Procesado
168;María Aguilar;V6R-568;2/11/2023;Procesado
92;Roberto Núñez;U5Q-301;2/11/2023;Procesado
582;María Castro;G8A-575;2/11/2023;Procesado
167;Sofía Ferreira;V1L-501;2/11/2023;Procesado
578;Fernando Ibáñez;M3X-484;3/11/2023;Pendiente
344;Lucía Ibáñez;Q7P-749;3/11/2023;Procesado
247;Beatriz Campos;R1H-319;3/11/2023;Pendiente
771;Pedro Machado;W9R-846;3/11/2023;Procesado
898;Pedro Vargas;W5Q-167;3/11/2023;Procesado
128;María Fernández;S9X-726;3/11/2023;Pendiente
126;Paula Medina;G4Y-275;3/11/2023;Procesado
363;Diego Flores;Z1H-995;3/11/2023;Pendiente
907;María Hernández;H7U-798;3/11/2023;Pendiente
611;Pedro Ruiz;N5T-810;3/11/2023;Pendiente
129;José Santos;W7T-978;3/11/2023;Procesado
698;Diego Díaz;Y3O-183;3/11/2023;Pendiente
